transaction_amount,merchant_name,date,transaction_details
18.11,Jones Group,2023-05-30,"18.11,Jones Group,2023-05-30"
72.97,"Rogers, Hampton and Smith",2023-04-23,"72.97,Rogers, Hampton and Smith,2023-04-23"
183.48,Ryan-George,2023-02-12,"183.48,Ryan-George,2023-02-12"
107.92,Carrillo-Berry,2023-03-11,"107.92,Carrillo-Berry,2023-03-11"
21.49,"Craig, Sanders and Brady",2023-04-16,"21.49,Craig, Sanders and Brady,2023-04-16"
166.08,White-Montgomery,2023-05-18,"166.08,White-Montgomery,2023-05-18"
2610.23,Russo-Shields,2023-10-06,"2610.23,Russo-Shields,2023-10-06"
29.15,"Rogers, Harris and White",2023-08-13,"29.15,Rogers, Harris and White,2023-08-13"
78.77,Ross-Cook,2023-02-18,"78.77,Ross-Cook,2023-02-18"
709.8,"Thomas, Gilmore and Oneal",2023-07-25,"709.8,Thomas, Gilmore and Oneal,2023-07-25"
41.62,Arnold-Garza,2023-04-11,"41.62,Arnold-Garza,2023-04-11"
37.62,Saunders-Allen,2023-01-22,"37.62,Saunders-Allen,2023-01-22"
70.72,Powell-Hogan,2023-06-21,"70.72,Powell-Hogan,2023-06-21"
242.03,Johnson PLC,2023-04-06,"242.03,Johnson PLC,2023-04-06"
76.67,Guerra Group,2023-07-18,"76.67,Guerra Group,2023-07-18"
57.1,"Simmons, Bell and Johnson",2023-10-03,"57.1,Simmons, Bell and Johnson,2023-10-03"
325.45,"Jacobs, Harrington and Fox",2023-05-04,"325.45,Jacobs, Harrington and Fox,2023-05-04"
268.18,Ramirez-Perez,2023-09-02,"268.18,Ramirez-Perez,2023-09-02"
85.02,"Bell, Wright and Kelly",2023-03-02,"85.02,Bell, Wright and Kelly,2023-03-02"
304.31,Adams Ltd,2023-05-10,"304.31,Adams Ltd,2023-05-10"
1849.98,Aguilar-Rodriguez,2023-08-23,"1849.98,Aguilar-Rodriguez,2023-08-23"
8.29,Carpenter-Harris,2023-05-16,"8.29,Carpenter-Harris,2023-05-16"
1581.03,"Anderson, Diaz and Hunt",2023-08-17,"1581.03,Anderson, Diaz and Hunt,2023-08-17"
55.08,Walker and Sons,2023-01-24,"55.08,Walker and Sons,2023-01-24"
2644.09,"Morgan, Wiggins and Hawkins",2023-08-27,"2644.09,Morgan, Wiggins and Hawkins,2023-08-27"
72.63,Gardner-Douglas,2023-02-11,"72.63,Gardner-Douglas,2023-02-11"
549.99,Vaughn-Cox,2023-04-06,"549.99,Vaughn-Cox,2023-04-06"
536.06,Schmidt Ltd,2023-10-03,"536.06,Schmidt Ltd,2023-10-03"
359.66,"Anderson, Fisher and Rivera",2023-05-20,"359.66,Anderson, Fisher and Rivera,2023-05-20"
594.57,"Reed, Lopez and Caldwell",2023-02-23,"594.57,Reed, Lopez and Caldwell,2023-02-23"
102.89,Hoffman Group,2023-09-14,"102.89,Hoffman Group,2023-09-14"
41.55,"Flores, Lynch and Wang",2023-07-22,"41.55,Flores, Lynch and Wang,2023-07-22"
262.45,"Smith, Gallegos and Terry",2023-06-09,"262.45,Smith, Gallegos and Terry,2023-06-09"
1963.77,Pierce-Wong,2023-09-24,"1963.77,Pierce-Wong,2023-09-24"
110.61,Doyle-Baker,2023-09-01,"110.61,Doyle-Baker,2023-09-01"
346.51,Warner-Carter,2023-03-12,"346.51,Warner-Carter,2023-03-12"
186.94,Bailey PLC,2023-08-17,"186.94,Bailey PLC,2023-08-17"
414.75,Lewis-Lozano,2023-04-10,"414.75,Lewis-Lozano,2023-04-10"
148.67,Fox Group,2023-03-11,"148.67,Fox Group,2023-03-11"
317.06,Stewart-Cline,2023-06-26,"317.06,Stewart-Cline,2023-06-26"
849.15,"Harvey, Stone and Cabrera",2023-04-19,"849.15,Harvey, Stone and Cabrera,2023-04-19"
2457.85,Wells-May,2023-04-02,"2457.85,Wells-May,2023-04-02"
1886.64,Thornton-Harris,2023-08-24,"1886.64,Thornton-Harris,2023-08-24"
134.1,Mason Ltd,2023-05-20,"134.1,Mason Ltd,2023-05-20"
13.93,Edwards and Sons,2023-07-03,"13.93,Edwards and Sons,2023-07-03"
25.46,"Young, Soto and Gonzales",2023-09-11,"25.46,Young, Soto and Gonzales,2023-09-11"
159.97,"Schultz, Zavala and Fox",2023-01-04,"159.97,Schultz, Zavala and Fox,2023-01-04"
48.23,Thompson-Smith,2023-04-25,"48.23,Thompson-Smith,2023-04-25"
273.08,Medina-Parker,2023-08-16,"273.08,Medina-Parker,2023-08-16"
13.34,Gardner-Jones,2023-02-22,"13.34,Gardner-Jones,2023-02-22"
137.55,Jennings PLC,2023-03-09,"137.55,Jennings PLC,2023-03-09"
376.11,"Wright, Bullock and Abbott",2023-01-29,"376.11,Wright, Bullock and Abbott,2023-01-29"
778.23,Dougherty Inc,2023-07-02,"778.23,Dougherty Inc,2023-07-02"
450.46,Kirk-Mayer,2023-02-15,"450.46,Kirk-Mayer,2023-02-15"
377.74,Clark Inc,2023-08-21,"377.74,Clark Inc,2023-08-21"
293.68,"Greene, Gray and Gaines",2023-02-21,"293.68,Greene, Gray and Gaines,2023-02-21"
137.36,Warner-Jones,2023-05-15,"137.36,Warner-Jones,2023-05-15"
1558.48,Hernandez and Sons,2023-05-18,"1558.48,Hernandez and Sons,2023-05-18"
382.36,Wolfe-Anderson,2023-07-16,"382.36,Wolfe-Anderson,2023-07-16"
18.68,Gordon-Holmes,2023-02-27,"18.68,Gordon-Holmes,2023-02-27"
1471.64,Gonzalez-Mcconnell,2023-08-05,"1471.64,Gonzalez-Mcconnell,2023-08-05"
202.32,"Cook, West and Warren",2023-08-15,"202.32,Cook, West and Warren,2023-08-15"
41.97,Rhodes-Cole,2023-04-24,"41.97,Rhodes-Cole,2023-04-24"
43.89,"Smith, Brown and Mooney",2023-05-24,"43.89,Smith, Brown and Mooney,2023-05-24"
114.74,Brown Group,2023-07-22,"114.74,Brown Group,2023-07-22"
177.52,Hernandez Group,2023-08-21,"177.52,Hernandez Group,2023-08-21"
262.73,"Marsh, Murray and Arnold",2023-02-20,"262.73,Marsh, Murray and Arnold,2023-02-20"
414.04,"Smith, Mckenzie and Garcia",2023-05-29,"414.04,Smith, Mckenzie and Garcia,2023-05-29"
114.72,Vaughn-Garrett,2023-02-10,"114.72,Vaughn-Garrett,2023-02-10"
1209.2,Malone-Hernandez,2023-01-06,"1209.2,Malone-Hernandez,2023-01-06"
97.61,"Fox, Michael and Martinez",2023-03-20,"97.61,Fox, Michael and Martinez,2023-03-20"
37.99,Cabrera-Rivera,2023-05-20,"37.99,Cabrera-Rivera,2023-05-20"
1360.71,Petersen Group,2023-03-19,"1360.71,Petersen Group,2023-03-19"
1199.1,"Miller, Norris and Montoya",2023-04-26,"1199.1,Miller, Norris and Montoya,2023-04-26"
150.93,Smith-Murphy,2023-03-20,"150.93,Smith-Murphy,2023-03-20"
50.25,Miller-Webb,2023-03-06,"50.25,Miller-Webb,2023-03-06"
941.26,Erickson Ltd,2023-10-02,"941.26,Erickson Ltd,2023-10-02"
1070.37,Simmons-Villanueva,2023-01-20,"1070.37,Simmons-Villanueva,2023-01-20"
122.43,Vargas Group,2023-10-02,"122.43,Vargas Group,2023-10-02"
89.49,Miranda Group,2023-02-24,"89.49,Miranda Group,2023-02-24"
261.26,"Murray, Mosley and Hill",2023-08-16,"261.26,Murray, Mosley and Hill,2023-08-16"
2504.33,"White, Simpson and Travis",2023-04-03,"2504.33,White, Simpson and Travis,2023-04-03"
78.49,Burke Inc,2023-03-23,"78.49,Burke Inc,2023-03-23"
23.44,Palmer-Hernandez,2023-06-04,"23.44,Palmer-Hernandez,2023-06-04"
1774.54,Cisneros and Sons,2023-10-02,"1774.54,Cisneros and Sons,2023-10-02"
57.26,"Clark, Cooke and Bartlett",2023-01-25,"57.26,Clark, Cooke and Bartlett,2023-01-25"
14.66,"Calderon, Phillips and Anderson",2023-02-05,"14.66,Calderon, Phillips and Anderson,2023-02-05"
183.29,Lawrence-Griffin,2023-05-30,"183.29,Lawrence-Griffin,2023-05-30"
198.11,Flores-Mann,2023-05-17,"198.11,Flores-Mann,2023-05-17"
423.54,Weeks Group,2023-04-14,"423.54,Weeks Group,2023-04-14"
139.3,Mendoza-Martin,2023-01-07,"139.3,Mendoza-Martin,2023-01-07"
33.02,"Watts, Williams and Roberts",2023-05-25,"33.02,Watts, Williams and Roberts,2023-05-25"
22.64,Guerrero-Poole,2023-08-22,"22.64,Guerrero-Poole,2023-08-22"
27.87,Jones LLC,2023-05-11,"27.87,Jones LLC,2023-05-11"
155.18,Johnson-Sanchez,2023-01-20,"155.18,Johnson-Sanchez,2023-01-20"
227.17,Crawford Inc,2023-01-28,"227.17,Crawford Inc,2023-01-28"
77.57,Weeks-Johnson,2023-08-21,"77.57,Weeks-Johnson,2023-08-21"
24.03,"Martinez, Washington and Walter",2023-04-25,"24.03,Martinez, Washington and Walter,2023-04-25"
146.12,Bush Group,2023-05-15,"146.12,Bush Group,2023-05-15"
165.21,"Johnson, Mckay and Johnson",2023-10-06,"165.21,Johnson, Mckay and Johnson,2023-10-06"
452.63,Brooks-Walker,2023-08-05,"452.63,Brooks-Walker,2023-08-05"
29.51,"Bullock, Lara and Mullins",2023-04-22,"29.51,Bullock, Lara and Mullins,2023-04-22"
657.88,Gonzalez and Sons,2023-07-31,"657.88,Gonzalez and Sons,2023-07-31"
2408.83,Rogers-Hill,2023-08-20,"2408.83,Rogers-Hill,2023-08-20"
2364.24,"Allen, Riley and Knight",2023-06-30,"2364.24,Allen, Riley and Knight,2023-06-30"
147.04,Martin Ltd,2023-06-20,"147.04,Martin Ltd,2023-06-20"
898.8,Giles-Taylor,2023-08-02,"898.8,Giles-Taylor,2023-08-02"
259.53,Gutierrez-Clark,2023-02-04,"259.53,Gutierrez-Clark,2023-02-04"
147.77,Rios-Williams,2023-02-05,"147.77,Rios-Williams,2023-02-05"
143.15,Cervantes PLC,2023-01-12,"143.15,Cervantes PLC,2023-01-12"
181.68,"Hutchinson, Mckee and Morgan",2023-05-05,"181.68,Hutchinson, Mckee and Morgan,2023-05-05"
1106.89,Harmon-Miller,2023-03-21,"1106.89,Harmon-Miller,2023-03-21"
246.48,"White, Santiago and Green",2023-04-28,"246.48,White, Santiago and Green,2023-04-28"
474.1,Olsen PLC,2023-09-02,"474.1,Olsen PLC,2023-09-02"
1603.15,"Miller, Lloyd and Rivera",2023-07-18,"1603.15,Miller, Lloyd and Rivera,2023-07-18"
95.62,Hernandez-Green,2023-02-07,"95.62,Hernandez-Green,2023-02-07"
854.64,Obrien-Roberts,2023-02-11,"854.64,Obrien-Roberts,2023-02-11"
2288.83,"Duffy, Stewart and Dickson",2023-10-08,"2288.83,Duffy, Stewart and Dickson,2023-10-08"
89.46,Brewer-Beltran,2023-05-28,"89.46,Brewer-Beltran,2023-05-28"
48.59,"Garza, Baker and Frazier",2023-10-07,"48.59,Garza, Baker and Frazier,2023-10-07"
45.07,"Arnold, Maynard and Johnson",2023-08-07,"45.07,Arnold, Maynard and Johnson,2023-08-07"
101.71,Ponce LLC,2023-07-23,"101.71,Ponce LLC,2023-07-23"
181.69,"Nelson, Brewer and Robinson",2023-01-06,"181.69,Nelson, Brewer and Robinson,2023-01-06"
954.67,Davis-Williams,2023-04-04,"954.67,Davis-Williams,2023-04-04"
197.76,Williamson PLC,2023-03-09,"197.76,Williamson PLC,2023-03-09"
13.93,Mendoza PLC,2023-09-21,"13.93,Mendoza PLC,2023-09-21"
126.34,"Coleman, Chan and Dixon",2023-05-17,"126.34,Coleman, Chan and Dixon,2023-05-17"
272.97,Webb-Mcgrath,2023-06-05,"272.97,Webb-Mcgrath,2023-06-05"
2541.81,Robinson-Mcdonald,2023-10-03,"2541.81,Robinson-Mcdonald,2023-10-03"
418.28,Parks-James,2023-10-05,"418.28,Parks-James,2023-10-05"
150.6,Weaver Group,2023-06-12,"150.6,Weaver Group,2023-06-12"
284.38,Nash-Beck,2023-08-12,"284.38,Nash-Beck,2023-08-12"
20.2,Barry-Klein,2023-04-29,"20.2,Barry-Klein,2023-04-29"
318.5,"Carter, Porter and Cuevas",2023-05-11,"318.5,Carter, Porter and Cuevas,2023-05-11"
142.12,Hernandez Inc,2023-04-04,"142.12,Hernandez Inc,2023-04-04"
986.91,Morales Inc,2023-01-19,"986.91,Morales Inc,2023-01-19"
45.65,"Baker, Holden and Weaver",2023-06-08,"45.65,Baker, Holden and Weaver,2023-06-08"
475.88,Rojas-Park,2023-07-13,"475.88,Rojas-Park,2023-07-13"
2491.98,Berry-Smith,2023-03-30,"2491.98,Berry-Smith,2023-03-30"
2671.92,Hood Group,2023-02-04,"2671.92,Hood Group,2023-02-04"
33.84,Allison-Castillo,2023-09-30,"33.84,Allison-Castillo,2023-09-30"
182.96,Ellis-Smith,2023-01-15,"182.96,Ellis-Smith,2023-01-15"
86.28,Davidson-Schwartz,2023-04-07,"86.28,Davidson-Schwartz,2023-04-07"
195.47,Williams Inc,2023-01-13,"195.47,Williams Inc,2023-01-13"
183.13,Oconnell LLC,2023-02-11,"183.13,Oconnell LLC,2023-02-11"
122.18,Stout Inc,2023-02-14,"122.18,Stout Inc,2023-02-14"
153.11,Sandoval Group,2023-07-02,"153.11,Sandoval Group,2023-07-02"
868.5,Lee Group,2023-02-02,"868.5,Lee Group,2023-02-02"
74.72,Garcia-Shelton,2023-05-13,"74.72,Garcia-Shelton,2023-05-13"
2460.94,"Henderson, Tanner and Jackson",2023-09-05,"2460.94,Henderson, Tanner and Jackson,2023-09-05"
45.68,Cruz-Tapia,2023-05-30,"45.68,Cruz-Tapia,2023-05-30"
259.79,"Reyes, Hughes and Lane",2023-07-02,"259.79,Reyes, Hughes and Lane,2023-07-02"
113.2,Bass Ltd,2023-04-29,"113.2,Bass Ltd,2023-04-29"
64.04,Gray Inc,2023-05-24,"64.04,Gray Inc,2023-05-24"
16.57,"Villa, Brandt and Russell",2023-05-10,"16.57,Villa, Brandt and Russell,2023-05-10"
319.6,Miles-Miller,2023-04-19,"319.6,Miles-Miller,2023-04-19"
61.28,Rubio-Daniel,2023-04-27,"61.28,Rubio-Daniel,2023-04-27"
217.41,"Barton, Roach and Scott",2023-08-25,"217.41,Barton, Roach and Scott,2023-08-25"
247.14,"Sellers, Huerta and Fitzgerald",2023-08-23,"247.14,Sellers, Huerta and Fitzgerald,2023-08-23"
131.55,"Gibson, Moore and Johnson",2023-06-15,"131.55,Gibson, Moore and Johnson,2023-06-15"
93.53,"Fox, Brown and Walsh",2023-10-04,"93.53,Fox, Brown and Walsh,2023-10-04"
91.7,Adams-Edwards,2023-09-23,"91.7,Adams-Edwards,2023-09-23"
343.3,"Mahoney, Montgomery and Romero",2023-03-16,"343.3,Mahoney, Montgomery and Romero,2023-03-16"
916.14,Elliott Group,2023-01-13,"916.14,Elliott Group,2023-01-13"
677.1,Rose-Bautista,2023-09-25,"677.1,Rose-Bautista,2023-09-25"
1226.69,Smith-Lawrence,2023-04-30,"1226.69,Smith-Lawrence,2023-04-30"
59.13,"Glenn, Murray and Newman",2023-05-07,"59.13,Glenn, Murray and Newman,2023-05-07"
18.87,Ross Ltd,2023-06-26,"18.87,Ross Ltd,2023-06-26"
38.18,"Parks, Yates and Novak",2023-09-27,"38.18,Parks, Yates and Novak,2023-09-27"
250.67,Christensen PLC,2023-05-28,"250.67,Christensen PLC,2023-05-28"
2567.48,"Harris, Martinez and Wheeler",2023-07-01,"2567.48,Harris, Martinez and Wheeler,2023-07-01"
2818.05,Herman-Ferguson,2023-01-05,"2818.05,Herman-Ferguson,2023-01-05"
170.35,Burton-Rogers,2023-07-07,"170.35,Burton-Rogers,2023-07-07"
66.45,Fowler and Sons,2023-05-26,"66.45,Fowler and Sons,2023-05-26"
30.31,Collins-Jones,2023-08-20,"30.31,Collins-Jones,2023-08-20"
14.66,Walton-Martinez,2023-09-28,"14.66,Walton-Martinez,2023-09-28"
1602.7,"Lee, Lester and Fuller",2023-02-07,"1602.7,Lee, Lester and Fuller,2023-02-07"
71.29,"Ramos, Sullivan and Cook",2023-09-15,"71.29,Ramos, Sullivan and Cook,2023-09-15"
57.46,"Kramer, Manning and Shaw",2023-05-22,"57.46,Kramer, Manning and Shaw,2023-05-22"
1651.28,Lynch-Reyes,2023-09-16,"1651.28,Lynch-Reyes,2023-09-16"
294.43,Nguyen Ltd,2023-08-31,"294.43,Nguyen Ltd,2023-08-31"
178.94,Mayo Ltd,2023-02-02,"178.94,Mayo Ltd,2023-02-02"
120.92,Oneill-Cox,2023-06-12,"120.92,Oneill-Cox,2023-06-12"
425.44,Doyle-Miller,2023-08-30,"425.44,Doyle-Miller,2023-08-30"
382.79,Russell Inc,2023-05-10,"382.79,Russell Inc,2023-05-10"
840.12,Webb Inc,2023-08-25,"840.12,Webb Inc,2023-08-25"
113.01,Hernandez-Green,2023-07-03,"113.01,Hernandez-Green,2023-07-03"
135.36,Mays-Williams,2023-02-12,"135.36,Mays-Williams,2023-02-12"
95.94,Russell Ltd,2023-02-18,"95.94,Russell Ltd,2023-02-18"
37.62,Marquez-Fields,2023-01-31,"37.62,Marquez-Fields,2023-01-31"
224.51,Lawrence-King,2023-08-14,"224.51,Lawrence-King,2023-08-14"
2662.99,Mcbride Ltd,2023-02-20,"2662.99,Mcbride Ltd,2023-02-20"
100.0,Chang Ltd,2023-03-15,"100.0,Chang Ltd,2023-03-15"
200.92,Garcia-Schneider,2023-07-10,"200.92,Garcia-Schneider,2023-07-10"
171.24,Miller PLC,2023-05-28,"171.24,Miller PLC,2023-05-28"
1728.53,Richards Group,2023-03-25,"1728.53,Richards Group,2023-03-25"
818.64,Hunt-Davis,2023-04-19,"818.64,Hunt-Davis,2023-04-19"
150.47,Thomas LLC,2023-10-05,"150.47,Thomas LLC,2023-10-05"
138.4,"Wright, Flynn and Williams",2023-03-05,"138.4,Wright, Flynn and Williams,2023-03-05"
2775.19,"Campbell, Jones and Duran",2023-06-09,"2775.19,Campbell, Jones and Duran,2023-06-09"
112.88,Wright-Lawson,2023-10-05,"112.88,Wright-Lawson,2023-10-05"
31.97,Reed-Bailey,2023-04-06,"31.97,Reed-Bailey,2023-04-06"
1147.97,Bradley PLC,2023-08-06,"1147.97,Bradley PLC,2023-08-06"
2796.74,Lee Group,2023-09-25,"2796.74,Lee Group,2023-09-25"
196.87,"Smith, Moore and Cox",2023-06-10,"196.87,Smith, Moore and Cox,2023-06-10"
2655.07,Ruiz LLC,2023-05-06,"2655.07,Ruiz LLC,2023-05-06"
92.3,"Shields, Ball and Duncan",2023-03-12,"92.3,Shields, Ball and Duncan,2023-03-12"
50.98,Howard-Miller,2023-10-03,"50.98,Howard-Miller,2023-10-03"
92.11,Pena Ltd,2023-03-18,"92.11,Pena Ltd,2023-03-18"
89.68,Macias and Sons,2023-09-21,"89.68,Macias and Sons,2023-09-21"
2438.92,"Thomas, Fisher and Young",2023-06-14,"2438.92,Thomas, Fisher and Young,2023-06-14"
498.47,"Calderon, Mitchell and Weber",2023-01-15,"498.47,Calderon, Mitchell and Weber,2023-01-15"
70.52,Newton-Kerr,2023-01-16,"70.52,Newton-Kerr,2023-01-16"
1652.8,"Santana, Larson and Shaw",2023-07-12,"1652.8,Santana, Larson and Shaw,2023-07-12"
351.7,"Martinez, Johnson and Madden",2023-05-06,"351.7,Martinez, Johnson and Madden,2023-05-06"
79.23,"Ramirez, Page and Burton",2023-01-16,"79.23,Ramirez, Page and Burton,2023-01-16"
897.07,Kennedy LLC,2023-02-17,"897.07,Kennedy LLC,2023-02-17"
379.53,Miller PLC,2023-07-18,"379.53,Miller PLC,2023-07-18"
129.21,Anderson Ltd,2023-08-08,"129.21,Anderson Ltd,2023-08-08"
407.02,"Wilson, Hamilton and Barnett",2023-09-03,"407.02,Wilson, Hamilton and Barnett,2023-09-03"
135.87,Sloan-Cummings,2023-07-08,"135.87,Sloan-Cummings,2023-07-08"
57.75,Mcdowell-Hardin,2023-08-16,"57.75,Mcdowell-Hardin,2023-08-16"
479.61,"Love, Le and Hogan",2023-06-28,"479.61,Love, Le and Hogan,2023-06-28"
72.84,Brown-Smith,2023-05-02,"72.84,Brown-Smith,2023-05-02"
277.84,"Morrison, Parker and Jones",2023-04-20,"277.84,Morrison, Parker and Jones,2023-04-20"
75.16,"Reynolds, Moore and Cook",2023-02-13,"75.16,Reynolds, Moore and Cook,2023-02-13"
274.74,"Campbell, Johnson and Hamilton",2023-08-07,"274.74,Campbell, Johnson and Hamilton,2023-08-07"
742.08,Smith-Jones,2023-03-21,"742.08,Smith-Jones,2023-03-21"
340.14,Lee Ltd,2023-06-15,"340.14,Lee Ltd,2023-06-15"
94.47,Meyer-Hess,2023-04-26,"94.47,Meyer-Hess,2023-04-26"
685.78,"Butler, Williamson and Dalton",2023-09-03,"685.78,Butler, Williamson and Dalton,2023-09-03"
196.6,"Logan, Jones and Evans",2023-07-08,"196.6,Logan, Jones and Evans,2023-07-08"
106.42,"Keller, Cruz and Nguyen",2023-05-15,"106.42,Keller, Cruz and Nguyen,2023-05-15"
283.62,"Gutierrez, White and Wong",2023-03-11,"283.62,Gutierrez, White and Wong,2023-03-11"
21.2,"Estes, Munoz and Dickerson",2023-08-10,"21.2,Estes, Munoz and Dickerson,2023-08-10"
198.53,Good-Mercado,2023-05-03,"198.53,Good-Mercado,2023-05-03"
38.53,"Hughes, Williams and Coleman",2023-02-19,"38.53,Hughes, Williams and Coleman,2023-02-19"
48.96,"Hill, Schwartz and Rodriguez",2023-06-20,"48.96,Hill, Schwartz and Rodriguez,2023-06-20"
66.5,Bowen-Campos,2023-06-05,"66.5,Bowen-Campos,2023-06-05"
401.52,French-James,2023-05-16,"401.52,French-James,2023-05-16"
364.42,Beltran-Johnson,2023-10-11,"364.42,Beltran-Johnson,2023-10-11"
358.77,Carroll-Cole,2023-01-02,"358.77,Carroll-Cole,2023-01-02"
77.75,Bird-Hernandez,2023-04-04,"77.75,Bird-Hernandez,2023-04-04"
1491.53,"Nguyen, Gillespie and Garcia",2023-05-09,"1491.53,Nguyen, Gillespie and Garcia,2023-05-09"
135.73,"Weiss, Valenzuela and Curry",2023-01-10,"135.73,Weiss, Valenzuela and Curry,2023-01-10"
19.22,"Grant, Wood and Shaw",2023-05-05,"19.22,Grant, Wood and Shaw,2023-05-05"
108.66,Osborn Inc,2023-09-11,"108.66,Osborn Inc,2023-09-11"
933.97,King-Griffin,2023-08-27,"933.97,King-Griffin,2023-08-27"
664.24,"Miles, Moore and Park",2023-09-05,"664.24,Miles, Moore and Park,2023-09-05"
145.63,Ramos-Taylor,2023-07-27,"145.63,Ramos-Taylor,2023-07-27"
346.66,Baldwin-Garcia,2023-05-12,"346.66,Baldwin-Garcia,2023-05-12"
151.81,Meadows Ltd,2023-08-12,"151.81,Meadows Ltd,2023-08-12"
315.86,Day-Alexander,2023-04-10,"315.86,Day-Alexander,2023-04-10"
163.83,Waters and Sons,2023-10-12,"163.83,Waters and Sons,2023-10-12"
2562.79,Caldwell-Richard,2023-08-29,"2562.79,Caldwell-Richard,2023-08-29"
76.76,Travis-Martinez,2023-01-07,"76.76,Travis-Martinez,2023-01-07"
51.94,Williams Group,2023-07-25,"51.94,Williams Group,2023-07-25"
288.86,Esparza-Wilson,2023-08-15,"288.86,Esparza-Wilson,2023-08-15"
69.05,Middleton-Carter,2023-04-09,"69.05,Middleton-Carter,2023-04-09"
27.67,Hall Inc,2023-06-11,"27.67,Hall Inc,2023-06-11"
82.07,"Mata, Davis and Campbell",2023-02-23,"82.07,Mata, Davis and Campbell,2023-02-23"
86.06,"Garcia, Mann and Hess",2023-06-18,"86.06,Garcia, Mann and Hess,2023-06-18"
2865.35,"Gay, Bean and Morgan",2023-03-24,"2865.35,Gay, Bean and Morgan,2023-03-24"
87.25,"Lambert, Obrien and Douglas",2023-03-15,"87.25,Lambert, Obrien and Douglas,2023-03-15"
66.23,"Lee, Munoz and West",2023-01-04,"66.23,Lee, Munoz and West,2023-01-04"
2653.62,"Singleton, Glenn and Hunt",2023-06-19,"2653.62,Singleton, Glenn and Hunt,2023-06-19"
63.31,"Fry, Charles and Thompson",2023-08-02,"63.31,Fry, Charles and Thompson,2023-08-02"
102.01,"Walker, Williams and Parker",2023-09-18,"102.01,Walker, Williams and Parker,2023-09-18"
252.5,"Bryan, Davis and Price",2023-03-09,"252.5,Bryan, Davis and Price,2023-03-09"
95.41,Lewis-Anderson,2023-03-07,"95.41,Lewis-Anderson,2023-03-07"
145.07,Lynch-Reyes,2023-06-06,"145.07,Lynch-Reyes,2023-06-06"
63.46,"Lewis, Dean and Butler",2023-01-29,"63.46,Lewis, Dean and Butler,2023-01-29"
43.83,"Vaughn, Young and Smith",2023-01-09,"43.83,Vaughn, Young and Smith,2023-01-09"
30.53,"Cervantes, Larson and Johnson",2023-04-16,"30.53,Cervantes, Larson and Johnson,2023-04-16"
93.4,Ray-Ramirez,2023-06-03,"93.4,Ray-Ramirez,2023-06-03"
52.58,Bailey-Klein,2023-08-12,"52.58,Bailey-Klein,2023-08-12"
391.05,Burnett-Baker,2023-01-31,"391.05,Burnett-Baker,2023-01-31"
49.99,"Ballard, Lucas and Bailey",2023-01-13,"49.99,Ballard, Lucas and Bailey,2023-01-13"
158.9,"Ortega, Lopez and Kennedy",2023-06-07,"158.9,Ortega, Lopez and Kennedy,2023-06-07"
477.7,"Contreras, Rogers and Ramirez",2023-04-01,"477.7,Contreras, Rogers and Ramirez,2023-04-01"
36.9,"Decker, Duncan and Morgan",2023-02-21,"36.9,Decker, Duncan and Morgan,2023-02-21"
124.37,"Sawyer, Williams and Fletcher",2023-01-03,"124.37,Sawyer, Williams and Fletcher,2023-01-03"
576.0,Brewer-Baldwin,2023-05-06,"576.0,Brewer-Baldwin,2023-05-06"
116.71,Richardson and Sons,2023-01-03,"116.71,Richardson and Sons,2023-01-03"
212.14,"Alexander, Herring and Le",2023-05-21,"212.14,Alexander, Herring and Le,2023-05-21"
237.39,Brandt-Wong,2023-04-28,"237.39,Brandt-Wong,2023-04-28"
150.99,Wright-Harrison,2023-05-31,"150.99,Wright-Harrison,2023-05-31"
1446.38,Nelson Ltd,2023-08-18,"1446.38,Nelson Ltd,2023-08-18"
106.11,Zimmerman-Cantu,2023-07-04,"106.11,Zimmerman-Cantu,2023-07-04"
740.65,"Burns, Alexander and Jimenez",2023-03-31,"740.65,Burns, Alexander and Jimenez,2023-03-31"
533.85,Reyes and Sons,2023-06-15,"533.85,Reyes and Sons,2023-06-15"
81.52,Ramos-Thomas,2023-10-13,"81.52,Ramos-Thomas,2023-10-13"
936.99,Jordan PLC,2023-06-28,"936.99,Jordan PLC,2023-06-28"
111.63,"Vega, Garner and Little",2023-07-17,"111.63,Vega, Garner and Little,2023-07-17"
117.92,Robertson and Sons,2023-09-17,"117.92,Robertson and Sons,2023-09-17"
2350.16,Cabrera-Schwartz,2023-06-12,"2350.16,Cabrera-Schwartz,2023-06-12"
54.76,Johnston Group,2023-09-22,"54.76,Johnston Group,2023-09-22"
269.03,King-Meyer,2023-07-09,"269.03,King-Meyer,2023-07-09"
442.22,Saunders-Owen,2023-04-08,"442.22,Saunders-Owen,2023-04-08"
71.01,Robinson PLC,2023-06-07,"71.01,Robinson PLC,2023-06-07"
12.3,"Sparks, Carr and Simmons",2023-03-20,"12.3,Sparks, Carr and Simmons,2023-03-20"
2293.53,Williams PLC,2023-04-18,"2293.53,Williams PLC,2023-04-18"
168.14,Lee-Anderson,2023-09-13,"168.14,Lee-Anderson,2023-09-13"
433.7,"Smith, Melton and Smith",2023-09-19,"433.7,Smith, Melton and Smith,2023-09-19"
94.27,Miller Inc,2023-08-17,"94.27,Miller Inc,2023-08-17"
